,premise,hypothesis,label
32,"Conversely, an increase in government saving adds to the supply of resources available for investment and may put downward pressure on interest rates.",Interest rates should increase to increase saving.,0
33,"Britain's best-selling tabloid, the Sun , announced as a front-page world exclusive Friday that Texan model Jerry Hall has started divorce proceedings against aging rock star Mick Jagger at the High Court in London.",There is a British publication called the Sun.,1
34,"He was of two minds, one reveled in the peace of this village.",He loved how peaceful the village was.,1
35,"The vineyards hug the gentle slopes between the Vosges and the Rhine Valley along a single narrow 120-km (75-mile) strip that stretches from Marlenheim, just west of Strasbourg, down to Thann, outside Mulhouse.",The slopes between the Vosges and Rhine Valley are the only place appropriate for vineyards.,2
36,"We did not study the reasons for these deviations specifically, but they likely result from the context in which federal CIOs operate.",These deviations mostly involve failure to apply software updates in a timely manner.,2
37,"Rouen is the ancient center of Normandy's thriving textile industry, and the place of Joan of Arc's martyrdom ' a national symbol of resistance to tyranny.","Joan of Arc sacrificed her life at Rouen, which became an enduring symbol of opposition to tyranny.",1
38,"Table 2: Examples of BLM's, FHWA's, IRS's, and VBA's Customer Satisfaction Expectations for Senior Executive Performance",Senior Executive's have been studies on various aspects to reach the expectations.,1
39,"In Hong Kong you can have a plate, or even a whole dinner service, hand-painted to your own design.",It's impossible to have a plate hand-painted to your own design in Hong Kong.,0
40,"There are a number of expensive jewelry and other duty-free shops, all with goods priced in US dollars (duty-free goods must always be paid for in foreign currency).",Jewelry and duty-free shops are an interesting place to buy goods.,2
41,"What's truly striking, though, is that Jobs has never really let this idea go.",Jobs never held onto an idea for long.,0
42,"While it's probably true that democracies are unlikely to go to war unless they're attacked, sometimes they are the first to take the offensive.",Democracies probably won't go to war unless someone attacks them on their soil,1
43,"But to you, who know the truth, I propose to read certain passages which will throw some light on the extraordinary mentality of this great man."" He opened the book, and turned the thin pages.","There is no information on the mentality of the man, extraordinary or not, contained within the thin-paged book. ",0
44,yeah i mean just when uh the they military paid for her education,The military didn't pay for her education.,0
45,but uh these guys were actually on the road uh two thousand miles from from home when they had to file their uh their final exams and send them in,These men filed their midterm exams from home. ,0
46,"But you have to have money to save it, and not many couples with young children have the luxury of tucking away $2,000 apiece annually for their Golden Years.",Not many couples with kids can save up for retirement.,1
47,and uh as a matter of fact he's a draft dodger,"They dodged the draft, I'll have you know.",1
48,"'Publicity.' Lincoln removed his great hat, making a small show of dusting it off.",Lincoln took his hat off.,1
49,"In the stock market, however, the damage can get much worse.",The stock market can experience much worse damage. ,1
50,"Missouri was asked to continue its planning efforts and file a supplemental planning report with LSC on or before October 1, 1999.",Missouri was happy to continue it's planning efforts. ,2
51,He hadn't seen even pictures of such things since the few silent movies run in some of the little art theaters.,He had recently seen pictures depicting those things.,0
52,"Look, there's a legend here.","See, there is a well known hero here.",1
53,The Celts arrived in the wake of the Roman withdrawal at the end of the fourth century.,At the end of the fourth century was when baked goods flourished.,2
54,yeah and how about how about like on the weekends do you do sports or do you go out,No one plays sports on the weekend.,0
55,"Harlem was our first permanent office, he said. ",Harlem did a great job ,2
56,"But when the cushion is spent in a year or two, or when the next recession arrives, the disintermediating voters will find themselves playing the roles of budget analysts and tax wonks.",The cushion will likely be spent in under two years.,1
57,"Oh, what a fool I feel! ",I am beyond proud.,0
58,"She has exchanged a hollow life for a heightened life, and has tried to comprehend all its turns, get its possibilities.",She has chose to live a hollow life.,0
59,well the first thing for me is i wonder i see a couple of different ways of talking about what privacy is um if privacy is something that disturbs your private state i mean an invasion of privacy is something that disturbs your private state that's one thing and if privacy is something that comes into your private state and extracts information from it in other words finds something out about you that's another and the first kind of invasion of the first type of privacy seems invaded to me in very much everyday in this country but in the second type at least overtly uh where someone comes in and uh finds out information about you that should be private uh does not seem uh um obviously everyday,"All invasions of privacy should be severely punished, because it will teach the criminals that it is not worth doing.",2
60,He had never felt better.,The medicine he had taken had worked well.,2
61,The campaigns seem to reach a new pool of contributors.,New people chose to donate to the cause ,1
62,The Data Warehousing Institute provides education and training in the data warehousing and business intelligence industry.,Business intelligence industry is a new and promising field of study.,2
63,the net cost of operations.,The gross cost.,0
64,"Credibility is a vital factor, and Jim Lehrer does, indeed, have it.",Jim Lehrer has no credibility whatsoever.,0
65,Tuppence rose.,Tuppence floated into the air.,2
66,From the corner of his eye he saw Jamus look over the broken mare.,Jamus looked over the mare.,1
67,"Even if you're the kind of traveler who likes to improvise and be adventurous, don't turn your nose up at the tourist offices.",There's nothing worth seeing in the tourist offices.,0
68,"Similarly, OIM revised the electronic Grant Renewal Application to accommodate new information sought by LSC and to ensure greater ease for users.",Changes were made to the Grant Renewal Application to provide extra information to the LSC.,1
69,"'Dave Hanson, to whom nothing was impossible.' Well, we have a nearly impossible task: a task of engineering and building.",This building job will be very difficult to complete.,1
70,"Still, it would be interesting to know. 109 Poirot looked at me very earnestly, and again shook his head. ",Poirot did not look at me.,0
71,"But I'll take up my stand somewhere near, and when he comes out of the building I'll drop a handkerchief or something, and off you go!""","I want you to follow him, so watch for the signal that I give.",1
72,"There are no shares of a stock that might someday come back, just piles of options as worthless as those shares of Cook's American Business Alliance.", Cook's American Business Alliance caused shares of stock to come back.,0
73,"One thing was worrying me dreadfully, but my heart gave a great throb of relief when I saw my ulster lying carelessly over the back of a chair.",I was dreadfully worried about many things. ,0
74,"Do you think Mrs. Inglethorp made a will leaving all her money to Miss Howard? I asked in a low voice, with some curiosity. ",I yelled at the top of my lungs.,0
75,Isn't a woman's body her most personal property?,"Women's bodies belong to themselves, they should decide what to do with it. ",2
76,that your approach is is is right you can actually go out and sub it if even if you don't wanna get hands on you can even just sub it out the concrete and those kind of things and and that's kind of the plan i have so um uh everyone i talk to uh i've,You can sub it even if you do not want to get your hands on it.,1
77,What changed?,What was unique?,2
78,oh i don't know either the other growing up all i knew was,I know because I learned it growing up,0
79,WHOLE LIFE POLICIES - Policies that provide insurance over the insured's entire life and the proceeds (face amount) are paid only upon death of the insured.,Whole life policies are a type of life insurance that only cover the insured person until retirement from the workforce.,0
80,Justice Kennedy does not care what law librarians across the country do with all the Supreme Court Reporters from 1790 through 1998.,Justice Kennedy doesn't care if the Supreme Court Reporters from 1790 to 1998 are thrown away.,1
81,The entire city was surrounded by open countryside with a scattering of small villages.,The whole countryside is scattered with small villages. ,1
82,substitute my my yeah my kid'll do uh four or five hours this week for me no problem,I just can't make the time because of my job.,2
83,it's actually there well Iraq has had uh designs on that place since nineteen twenty two so you know it wasn't like something that just suddenly popped up,The weird thing is that Iraq was never interested in that place until now.,0
84,The final rule contains a Federalism Assessment under Executive Order,The final rule had a federalism assessment that was added through executive order by the President.,2
85,"Prototyping, for example, may act as part of the requirements definition process, helping the agency identify and control areas of high uncertainty and technical risk.","Prototyping is not important, testing with the actual finished product is better.",0
86,"The regime's response of ferocious repression plus numerous other ineptitudes led to a third revolution in 1848, with the Bonapartists, led by Napoleon's nephew, emerging triumphant.",France was ruled by Napoleon's nephew after they won a revolution in 1848.,1
87,Boats in daily use lie within feet of the fashionable bars and restaurants.,Bars and restaurants are interesting places.,2
88,so i guess my experience is is just with what we did and and so they didn't really go through the child care route they were able to be home together,They were able to be home rather than having to worry about getting child care.,1
89,DOD's common practice for managing this environment has been to create aggressive risk reduction efforts in its programs.,Creating risk reduction efforts is common practice.,1
90, Then he ran.,He ran like an athlete.,2
91,you sound like this girl that i talked to about books and we got into movies one night,I found out about so many movies I had never heard of.,2
92,if the United States had used full conventional power.,The United States has no power to use.,0
93,yeah really no kidding,Really? No kidding! ,1
94,Visit at sundown or out of season to get the full flavor of the setting.,The setting is better to visit at sundown or during low season.,1
95,"In a further role reversal, Gingrich may have positioned himself to fill it.",Gingrich should not be in power.,2
96,"All of the islands are now officially and proudly part of France, not colonies as they were for some three centuries.",The islands are part of France now instead of just colonies.,1
97,"(For more information on BLM's senior executive performance plans, see app.",BLM's performance plans are visible online.,1
98,"While parents may pick up this gay semaphore, kids aren't likely to.",Some kids do understand gay signals.,2
99,"Taking an ecumenical tack, nation officials in Chicago recently issued edicts commanding preachers to back off their anti-Semitic rhetoric.",Nation officials in Chicago are involved in religious issues.,1
100,Saddam could emerge strengthened (and America tarnished) in the eyes of the Arab world.,America's opinion on Saddam would also worsen.,2
101,"To savour the full effect of the architect's skill, enter the courtyard through the gate which opens onto the Hippodrome.",The gate to the Hippodrome is an example of the architect's skill.,1
102,"There is nothing more to be done here, I think, unless, he stared earnestly and long at the dead ashes in the grate. ",There isn't anything left to do. ,1
103,"In Texas, the legislature was instrumental in effecting changes to the state's benefit programs through provisions in several pieces of legislation.",The legislature was instrumental in effecting changes to the benefit program.,1
104,"Perhaps all we can say of great acting is that it involves assimilation rather than accumulation, that the performer isn't so much a surrogate as a vessel.",An actor is judged solely on quality of performance.,2
105,"In the summer, the Sultan's Pool, a vast outdoor amphitheatre, stages rock concerts or other big-name events.",Most rock concerts take place in the Sultan's Pool amphitheatre.,2
106,"Around 1500 b.c. , a massive volcanic eruption at Santorini destroyed not only Akrotiri under feet of ash and pumice but the whole Minoan civilization.",The entire Minoan civilization was destroyed by a volcanic eruption.,1
107,"The great thing is to keep calm."" Julius groaned.",Julius made a groaning sound.,1
108,"June 21, 1995, provides the specific requirements for assessing and reporting on controls.",There are no specific requirements for assessment.,0
109,"This is especially true on Menorca, where cold winter winds limit the season's length.","This is especially untrue on Menorca, where warm summer weather extends the season's length.",0
110,"Over most of the 1980s and 1990s, the U.S. was able to invest more than it saved by attracting financing from abroad.",The US could save more than it invested in the 1980's and 90's.,0
111,The sacred is not mysterious to her.,The woman is familiar with the sacred.,1
112,"If you land by boat, Caravelle beach is yours for the using; otherwise you'll have to pay a nominal charge to the vacation club that owns the acreage.",There is a charge for people arriving at Caravelle beach by land.,1
113,"Behind the cathedral, croseover the Rue de la R??publique to the 15th-century Eglise Saint-Maclou, the richest example of Flam?­boy?­ant Gothic in the country.",Eglise Saint-Michel is built in a flamboyant Gothic style.,1
114,"Julius before the safe in the flat, her own question and the pause before his reply, ""Nothing."" Was there really nothing? ","Julius paused for a while, before answering her.",1
115,GAO recommends that the Secretary of Defense revise policy and guidance,GAO recommends that the Secretary of Defense revise policy and guidance,1
116,"The Kal tangled both of Adrin's arms, keeping the blades far away.","Adrin's arms were tangled, keeping his blades away from Kal.",1
117,The primary screen must be integrated into the standard intake procedure of the emergency setting and must be the responsibility of the staff to administer to all patients.,The primary screen is the responsibility of the staff to be given to all patients.,1
118,"I have been visiting an old woman in the village, she explained, ""and as Lawrence told me you were with Monsieur Poirot I thought I would call for you.""",There is an old woman in the village that I have been visiting. ,1
119,"As a basic guide, the symbols below have been used to indicate high-season rates in Hong Kong dollars, based on double occupancy, with bath or shower.","As you can see, the symbols are of dolphins and octopuses.",2
120,Slate 's Joseph Nocera.,Nocera works for Slate.,1
121,"This town, which flourished between 6500 and 5500 b.c. , had flat-roofed houses of mud and timber decorated with wall-paintings, some of which show patterns that still appear on Anatolian kilims.",This town is over 8000 years old.,1
122,Candidates must submit a set of fingerprints for review by the FBI.,People that want the job have to have their fingerprints sent to the FBI.,1
123,"In 1998, Cesar Chavez fasted for 36 days in California to underscore the dangers of pesticides to farm workers and their children.",Cesar Chavez was not concerned about the dangers of pesticide use.,0
124,The red moon made her skin glow.,Her skin was glowing from the red moon.,1
125,"Strategic parents might spend a large portion of their tax cuts, causing interest rates to rise.",Tax cuts geared to parents will give them greater spending flexibility but will also lead to higher interest rates on loans.,2
126,"However, in the off-field (sentimental) tournament, the Falcons and Jets have more appealing story lines.",The Jets and Falcons have boring stories.,0
127,right after the war,Just after the war ended.,1
128,i'm kind of familiar with the weather out that way in west Texas but not in not in Lewisville,I do not know the weather conditions in Lewisville.  ,1
129,"In the moment of victory, Tuppence betrayed a somewhat unsportsmanlike triumph.",Tuppence was triumphant.,1
130,"The central features of the Results Act-strategic planning, performance measurement, and public reporting and accountability-can serve as powerful tools to help change the basic culture of government.",The Results Act has strategic planning as a central feature. ,1
131,"The most important directions are simply up and up leads eventually to the cathedral and fortress commanding the hilltop, and down inevitably leads to one of three gates through the wall to the new town.",The cathedral will be spotted midway along the path to the fortress at the summit.,2
132,"They made little effort, despite the Jesuit presence in Asia, to convert local inhabitants to Christianity or to expand their territory into the interior.","The Jesuit presence in Asia helped to convert local residents to Christianity, allowing them to expand their territory. ",0
133,Dirt mounds surrounded the pit so that the spectators stood five or six people deep around the edge of the pit.,The ground is totally flat.,0
134,i think it's real good anyway it's it's been it was nice meeting you,It was nice meeting you,1
135,um-hum  right do where are you at what state,Where are you located?,1
136,Small towns like Louisian lay scattered all over the Oil Fields; the main train line branched between them.,There were a lot of small towns in the oil fields.,1
137,"There's only one thing for me to do.""",There's a few things left for me to do.,0
138,The  liberation  of these old European colonies created the basis for postwar independence movements proclaiming the Japanese slogan  Asia for the Asians.  ,Old European colonies were liberated.,1
139,"The inquiry expanded very quickly, however, from asking what technology failed to an examination of contextual influences, such as",They moved they inquiries over from technology failing because they thought it may be something else.,2
140,Your man wouldn't have remained conscious after the first blow.,"After the first blow to the head, your man wouldn't have remained conscious.",2
141,But those that are manufactured for sale in in Europe and so forth are quite the other way around,The ones that are made to sell in Europe are different.,1
142,Fixing current levels of damage would be impossible.,The damage could never be fixed by an artisan.,2
143,Since his death it has been transformed into the Bob Marley Museum and carefully managed by the Marley family to protect the memory of his life.,The museum contains works from other members of the Marley family.,2
144,Sometimes it flattens entire neighbourhoods to make life easier for them.,All neighborhoods are perfectly safe in their pursuit of an easier life.,0
145,"To make matters worse, many employers looking to save money (and please their employees) will drop dependent benefits if states provide better coverage than the private plans now do.","When states provide better coverage than private plans, many employers will drop dependent benefits and pass the savings on to you.",2
146,Then I considered.,"Afterwards, I thought about it.",1
147,probably so yeah you can get a head start on it,You can get a head start on it if you plant now.,2
148,The conversation he had overheard had stimulated his curiosity.,The conversation made him curious because they spoke about treasure,2
149,You will find two principal  fino and olorose,You won't find any fino or olorose.,0
150,"The sooner we strike the better."" He turned to Tuppence.",He convinced Tuppence to hold off on their action plan. ,0
151,yeah that's where i got to too the first i got chills up and down when i heard the on the radio and the first time they started doing the bombing,When I heard that on the radio I got chills and the beginning of the bombing.,1
152,"This having come to his stepmother's ears, she taxed him with it on the afternoon before her death, and a quarrel ensued, part of which was overheard. ",A fight broke out between the stepmother and the man before her death.,1
153,"Next, you enter the vast and splendid Imperial Hall, with three handsome marble fountains, and a canopied throne from which the sultan would enjoy the music and dancing of his concubines.",The Imperial Hall houses three marble fountains.  ,1
154,"The tomb guardian will unlock the gate to the tunnel and give you a candle to explore the small circular catacomb, but for what little you can see, it is hardly worth the effort.",The tomb garden can give you a thorough tour of the catacombs.,2
155,at least i'm going to give it a try cause you can see i mean the oil filters i mean you can touch it it's right there,It seems like it's worth trying to get the oil filter out.,1
156,"Tracking down the tiger is a subtle affair, and requires a degree of dedication, calm, and stealth.",You must be very silent when tracking tigers.,1
157,Adrin nodded.,Adrin nodded his head.,1
158,"The WP runs a piece inside reporting that during a church service last Sunday, Cardinal John O'Connor of New York criticized President Clinton from the pulpit for taking Catholic communion while in South Africa.",The WP runs a piece outside reporting ,0
159,yeah but uh do you have small kids,Do you have any children? ,2
160,"For big Raj-buffs, the supreme example of Indo-Gothic style is the Victoria Terminus, affectionately abbreviated to VT nowadays, once the railway station that launched adventures inland, now handling mostly suburban traffic.",The Victoria Terminus is still the main departure point for travelers heading deeper into the country.,0
161,Cop  Bud White (Crowe) and Ed Exley (Pearce) almost mix it up (59 seconds) :,Bud White and Ed Exley almost mix it up.,1
162,"The only drawback is, of course, the large crowds in summer.",It is pretty much deserted in July.,0
163,"The word itself, tapa, is translated as  lid  and derives from the old custom of offering a bite of food along with a drink, the food being served on a saucer sitting on top of the glass like a lid.",Tapas are only small in order for you to try a lot.,2
164,yeah yeah and i took a five year note out on my car when i right when i got out of college and uh i'll never do that again i still got a couple of years on it to go and i'm,My biggest mistake was taking a five year note out on my car.,2
165,"To places where surface transportation is not available, senders would be required to pay air rates, and possibly air rates keyed to the characteristics of the Alaskan air system.",The Alaskan air system is an effective method of shipping.,2
166,were sort of a double sign with a a big miles per hour and a little kilometers per hour type uh marking on the side,A sign that only displays mph.,0
167,The Tunnel of Eupalinos can be explored but it's not for the claustrophobic.,Claustrophobics will not enjoy the tunnel of Eupalinos.,1
168,Another alternative is that our heroes were pursuing the noble goal of academics everywhere--tenure.,Our heroes aren't going for any academic goals. ,0
169,He pulled his cloak tighter and wished for a moment that he had not shaved his head.,The man pulled his super hero cape around himself to show off.,2
170,and uh you know once you start up at the top and try to get those dollars on down to the hands that need them you know there's a lot of places the money stops and disappears along the way,There needs to be a more transparent distribution of money.,2
171,"As discussed in section 1, personal saving is the amount of aggregate disposable personal income left over after personal spending on goods and services.",Personal saving is how much disposable personal income is left over after personal spending and is typically about 5%.,2
172,"By then, the program had added Carroll and Grayson counties and the city of Galax and had five attorneys.",The program had only one single attorney.,0
173,"approaches for setting different requirements for sources that pose different levels of hazard (tiering); worst-case releases and other hazard assessment issues; accident information reporting; public participation; inherently safer approaches; and implementation and integration of section 112(r) with state programs, particularly state air permitting programs.",The hazards range from effecting the individual all the way up to the community.,2
174,"Clearly, GAO needs assistance to meet its looming human capital challenges.",The GAO has been receiving so many applications from qualified job seekers that they have had to raise the bar in hiring new employees.,2
175,Well? cried Tommy eagerly.,Tommy didn't speak.,0
176,Even the lower limit of that differential compounds to a hefty sum over time.,The differential will not grow.,0
177,He had forgotten about Adrin.,He didn't remember Adrin.,1
178,The best beach in Europe ' at least that's the verdict of its regulars.,Regulars say that it is totally free of litter and pollution.,2
179,"Reportedly the biggest payment made in such a case, it is hardly a nick in Texaco's annual revenue of more than $30 billion.",The biggest payment they made barely hurt their profits.,1
180,"The flame or whatever it was had enough heat, but it was hard to control.","The flame was easy to control, but lacked heat. ",0
181,um pardon me,I don't apologize.,0
182,"However, the WRAP States may unanimously petition the Administrator to determine that the total emissions of affected EGUs are reasonably projected to exceed 271,000 tons in 2018 or a later year and to make affected EGUs subject to the requirements of the new WRAP trading program.",The WRAP States may unanimously petition the Administrator to overturn the smoking ban.,2
183,"We hate them because they are smarter, or more studious, or more focused than we are.",We hate them out of jealousy for being smarter than us. ,1
184,These alone could have valuable uses.,These by themselves could prove valueable. ,1
185,Near Jerusalem,It is close to Jerusalem.,1
186,"Tell me, how did those scribbled words on the envelope help you to discover that a will was made yesterday afternoon?"" Poirot smiled. ",How could you not figure out that there was a will written yesterday?,0
187,"Escaped or abandoned raccoons have been breeding in the wild for the past 20 years and have damaged corn crops, watermelon and melon farms, and rainbow trout hatcheries, the paper said.","Raccoons, if they are abandoned, tend to damage things- this is what has been happening for the past 20 years.",1
188,"32 Under the RSA proposal, a worker between the ages of 25 and 60 with family earnings of at least $5,000 could contribute up to $1,000 annually through either an employer-sponsored saving plan or a tax-deferred individual account.","Most workers could contribute up to $1,000 each year.",1
189,senior management oversight and approval ofRequired acquisition objectives and plans.,"the referenced organization is expansive, with a number of other divisions in addition to the senior management division.",2
190,yeah well the uh NC double A tournament's going on right now and uh i haven't watched it this year because Louisville's out of it this year,I'll watch the basketball tournament next year.,2
191,of course you could annex Cuba but they wouldn't like that a bit,Annexing Cuba is a great idea.,0
192,"I have been visiting an old woman in the village, she explained, ""and as Lawrence told me you were with Monsieur Poirot I thought I would call for you.""",I am good friends with Monsieur Poirot.,2
193,"( sums up the millennium coverage from around the globe, and  examines whether the Y2K preparations were a waste.)",(The millennium coverage from around the globe is summed up and examined).,1
194,"They are levied through the power of the Government to compel payment, and the person or entity that pays these fees does not receive anything of value from the Government in exchange.",They are not levied through the power of the Government to compel payment.,0
195,"Moreover, Las Vegas has recently started to show signs of maturity in its cultural status as well.",The culture of Las Vegas has recently matured.,1
196,so Eric what do you think um,"How do you feel about it, Eric?",1
197,Sir James's presence in Manchester was not accidental.,Manchester was not the place that Sir James had intended to go.,0
198,"Such multicolored reef dwellers as the parrotfish and French angelfish, along with weirdly shaped coral, crawfish, or turtles hiding in crevices, can be yours for the viewing in these clear waters where visibility of 30 m (100 ft) is common.","Because visibility is so good, you can see French angelfish, crawfish, and other reef dwellers.",1
199,Benchmarked by U.S.,Benchmark in America.,1
200,"This includes all testing, information review, and interviews related to data reliability.",All testing will be made before 12pm on Mondays.,2
201,"External Validity The extent to which a finding applies (or can be generalized) to persons, objects, settings, or times other than those that were the subject of study.","External Validity gets its name from the fact that what's being studied are people, things, and individuals who are outside of the study.",1
202,"No, indeed, said Cynthia. ","Certainly not, said Cynthia.",1
203,Does anyone know what happened to chaos?,What happened to chaos ensuing after the election?,2
204,"In the other bracket, the Broncos beat the New York Jets.",The Broncos beat the New York Jets. ,1
205,"We were playing all sorts of sports, and you were not, so shut up and stop twitching,' the microbe's tone of voice changed, it was lower and more resounding.","We have played football, basketball, baseball and soccer and you haven't played anything so shut your mouth. ",1
206,"To help identify solutions to this problem, Senators Fred Thompson and John Glenn, Chairman and Ranking Minority Member, respectively, of the Senate Committee on Governmental Affairs, requested that we study organizations with superior security programs to identify management practices that could benefit federal agencies.",Senators Fred Thompson requested the study to benefit federal agencies.,1
207,well i think i got to agree with you there,I could not agree with you.,0
208,"Also, lack of winter freezes means that mites normally killed off by the cold will survive.",They wanted to warn people to look for mites because of the mild winter.,2
209,Chatterbox queried Trudeau about the Dallas Morning News quote.,Chatterbox queried Trudeau about what he said about immigrants.,2
210,yeah well Rochester's like right on the shores isn't it,Rochester is right on the shores.,1
211,"The Balanced Scorecard Institute is a web clearinghouse for managers to exchange information, ideas, and lessons learned in building strategic management systems using the balanced scorecard approach.",The Balanced Scorecard has recently closed due to a lack of interest.,0
212,"There are no shares of a stock that might someday come back, just piles of options as worthless as those shares of Cook's American Business Alliance.",Those shares of stocks will never come back.,1
213,"It was replaced in 1910 by the famous old pontoon bridge with its seafood restaurants, which served until the present bridge was opened in 1992.",The pontoon bridge had shops as well as restaurants.,2
214,"Say, man, don't you know you've been given up for dead? ",You were thought to be dead!,1
215,"Even us if you needed,"" said Jon.",He told them not to ask him to lift a finger.,0
216,"News berates computer users for picking obvious, easily cracked passwords and chastises system administrators for ignoring basic security precautions.",News outlets do not blame users or system administrators for security breaches. ,0
217,"In its submission, HCFA did not identify any other statute or executive order imposing procedural requirements relevant to the rule.",HCFA didn't identify any other executive order.,1
218,"No one was there, no bones at all.",There were many bones in a pile.,0
219,The bhakti movement of the Tamils brought a new warmth to the hitherto rigid Brahmanic ritual of Hinduism.,Many were sad to see the Brahmanic ritual change.,2
220,"Enter the realm of shopping malls, where everything you're looking for is available without moving your car.",Everything can be found inside a shopping mall.,2
221,well that's uh i agree with you there i mean he didn't have the surrounding cast that Montana had there's no doubt about that,I don't agree when you say that he didn't have as much support as Montana.,0
222,"As with other types of internal controls, this is a cycle of activity, not an exercise with a defined beginning and end.","There is no clear beginning and end, it's a continuous cycle.",1
223,There are many such at the present time.,There are none at all.,0
224,"With their fluent Vietnamese and Mandarin, they help Tran understand her family's eligibility for Medi-Cal and food stamps, assist the 70-year-old woman in finding a place to live and advise abused women how they can stay in the country while staying away from their husbands.",Tran spoke Mandarin. ,1
225,"As Ben Yagoda writes in the New York Times Book Review , somewhere along the way, Kidder must have decided not to write a book about Tommy O'Connor.",Ben Yagoda is a famous book reviewer.,2
226,"It was planned in the 1820s as a symbol of Scottish national pride and designed as a mini-Parthenon, in deference to the neoclassical style popular at the time.",It was designed to look just like the White House.  ,0
227,"She was 96 just turning away when she heard a piercing whistle, and the faithful Albert came running from the building to join her.",Albert was a dog that came running when he heard the whistle. ,2
228,Scotland became little more than an English county.,Scotland was hardly better than an English county. ,1
229,"3 Accordingly, auditors performing financial audits need to be proficient in applying the AICPA standards and guidance contained in the SASs.",Auditors must have many qualifications,2
230,Scotland became little more than an English county.,Scotland was hardly better than an English county as England no longer allowed them an army.,2
231,"Consider the Globe : As the respectable media have become sleazy, the Globe has become sleazier.",The media is becoming sleazy because it's trying to combat brainwashing.,2
